0,1,2,3,4,5,6,7,8,9,10,11
44844,0,8,2,122,4,0,2,481,1,0,0
22,15,0,0,0,0,0,0,0,0,0,0
24,0,2517,1,0,0,0,0,0,0,0,0
5,0,0,204,0,0,1,0,0,0,0,0
222,0,0,0,4359,0,0,0,0,0,0,0
3,0,0,0,0,103,0,0,0,0,0,0
2,0,0,0,0,0,123,0,0,0,0,0
0,0,0,0,0,0,1,163,0,0,0,0
34,0,0,0,0,0,0,0,3170,0,0,0
2,0,0,0,0,0,0,0,0,115,0,0
30,0,0,0,0,0,0,0,0,1,1,0
11,0,0,0,0,0,0,0,0,0,0,0
